epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,821.965,1.31109,1.50463,1.49291,0.29781,0.32127,0.24383,0.09965,2.11044,2.57782,2.30379,0.000679204,0.000679204,0.000679204
55,837.998,1.22394,1.48293,1.39342,0.26024,0.45942,0.26529,0.10667,2.04943,2.58368,2.26977,0.000665057,0.000665057,0.000665057
56,853.409,1.17335,1.32135,1.36154,0.31022,0.4673,0.31062,0.10555,2.14141,2.61419,2.31579,0.000650909,0.000650909,0.000650909
57,868.598,1.21292,1.30839,1.39214,0.3436,0.42762,0.31946,0.08945,2.19693,2.63353,2.30925,0.000636762,0.000636762,0.000636762
58,883.86,1.20017,1.2832,1.32293,0.21725,0.38794,0.22088,0.07591,2.22276,2.65932,2.29908,0.000622615,0.000622615,0.000622615
59,899.098,1.18433,1.31355,1.35384,0.23136,0.39674,0.20729,0.07664,2.25284,2.62583,2.31555,0.000608468,0.000608468,0.000608468
60,915.067,1.18551,1.27892,1.36809,0.21226,0.39873,0.213,0.07885,2.18378,2.59013,2.24885,0.000594321,0.000594321,0.000594321
61,930.602,1.1379,1.16954,1.28116,0.28968,0.37206,0.22306,0.08998,2.14078,2.49819,2.20186,0.000580174,0.000580174,0.000580174
62,945.788,1.15409,1.25658,1.36303,0.46891,0.3054,0.26351,0.11074,2.01842,2.47841,2.11395,0.000566027,0.000566027,0.000566027
63,961.098,1.13042,1.20441,1.3286,0.51292,0.3054,0.28636,0.11635,2.00349,2.45421,2.08971,0.00055188,0.00055188,0.00055188
64,976.764,1.06312,1.09786,1.26104,0.36955,0.39302,0.29841,0.11928,2.03103,2.47773,2.13786,0.000537733,0.000537733,0.000537733
65,992.665,1.03519,1.11456,1.24293,0.36691,0.36635,0.28256,0.10475,2.1197,2.43339,2.20885,0.000523586,0.000523586,0.000523586
66,1007.74,1.16926,1.39892,1.37731,0.47678,0.26032,0.23625,0.08836,2.16604,2.54396,2.2325,0.000509438,0.000509438,0.000509438
67,1022.93,1.15332,1.18755,1.36321,0.19291,0.27425,0.16528,0.0654,2.21121,2.57406,2.32195,0.000495291,0.000495291,0.000495291
68,1038.3,1.13975,1.25664,1.34294,0.5769,0.21524,0.18749,0.06207,2.13614,2.68505,2.29977,0.000481144,0.000481144,0.000481144
69,1054.19,1.08543,1.14327,1.30842,0.17825,0.22857,0.172,0.05944,2.20967,2.69273,2.40842,0.000466997,0.000466997,0.000466997
70,1070.52,1.20469,1.40434,1.36937,0.21924,0.27619,0.17551,0.06307,2.19215,2.60898,2.3774,0.00045285,0.00045285,0.00045285
71,1085.92,1.10911,1.19704,1.28544,0.17918,0.24698,0.17817,0.06298,2.24892,2.54006,2.38787,0.000438703,0.000438703,0.000438703
72,1101.22,1.03002,1.1239,1.25509,0.20111,0.31262,0.1801,0.0599,2.34804,2.57836,2.47301,0.000424556,0.000424556,0.000424556
73,1116.81,1.11032,1.18175,1.32729,0.21223,0.3576,0.19516,0.06381,2.38559,2.61095,2.50807,0.000410409,0.000410409,0.000410409
74,1132.61,1.02557,1.06991,1.2226,0.2802,0.32952,0.23274,0.07281,2.39742,2.59376,2.51827,0.000396262,0.000396262,0.000396262
75,1147.91,0.99043,1.04062,1.22538,0.23182,0.36952,0.22317,0.07701,2.33389,2.49279,2.48027,0.000382115,0.000382115,0.000382115
76,1163.27,1.11205,1.16923,1.31574,0.17395,0.44381,0.21934,0.08071,2.25458,2.51738,2.41979,0.000367967,0.000367967,0.000367967
77,1179.25,1.01763,1.09809,1.25958,0.29425,0.30725,0.22738,0.08578,2.20378,2.48551,2.36785,0.00035382,0.00035382,0.00035382
78,1195.05,1.06774,1.07159,1.26076,0.24128,0.33778,0.23308,0.08709,2.19475,2.51365,2.37695,0.000339673,0.000339673,0.000339673
79,1210.17,0.99208,1.1037,1.23149,0.18878,0.29063,0.21207,0.08274,2.14891,2.52336,2.32083,0.000325526,0.000325526,0.000325526
80,1225.54,0.98406,1.0808,1.20816,0.19823,0.29404,0.20138,0.08124,2.05548,2.57681,2.23596,0.000311379,0.000311379,0.000311379
81,1241.18,0.95621,1.00525,1.19962,0.18558,0.33625,0.20849,0.07416,2.06588,2.63627,2.26642,0.000297232,0.000297232,0.000297232
82,1257.01,1.00556,1.07747,1.25566,0.22084,0.29759,0.21438,0.07486,2.06549,2.66857,2.24201,0.000283085,0.000283085,0.000283085
83,1272.21,0.9873,1.06841,1.20263,0.2288,0.30285,0.20602,0.07331,2.06667,2.67513,2.25856,0.000268938,0.000268938,0.000268938
84,1287.35,0.95221,1.0229,1.18991,0.24542,0.3504,0.20295,0.07081,2.05677,2.64316,2.24295,0.000254791,0.000254791,0.000254791
85,1302.94,0.91214,1.01361,1.17874,0.26358,0.34286,0.20343,0.0687,2.05874,2.6426,2.21961,0.000240644,0.000240644,0.000240644
86,1318.84,0.92878,0.99234,1.17788,0.26632,0.35873,0.19668,0.06706,2.09883,2.65624,2.23578,0.000226497,0.000226497,0.000226497
87,1334.41,0.93213,0.97758,1.16599,0.20448,0.32761,0.18249,0.07085,2.0931,2.69604,2.24221,0.000212349,0.000212349,0.000212349
88,1349.46,0.91294,0.98232,1.19385,0.22275,0.35063,0.18988,0.07074,2.15359,2.69202,2.28269,0.000198202,0.000198202,0.000198202
89,1364.77,0.92584,0.99186,1.20799,0.26881,0.32952,0.19511,0.06907,2.18581,2.71181,2.30498,0.000184055,0.000184055,0.000184055
90,1380.56,0.87305,0.90367,1.15234,0.27752,0.32952,0.19917,0.06503,2.21977,2.71247,2.32713,0.000169908,0.000169908,0.000169908
91,1396.43,0.96267,1.28546,1.2027,0.22611,0.35668,0.18091,0.06319,2.2416,2.72152,2.36007,0.000155761,0.000155761,0.000155761
92,1411.55,0.92955,1.16367,1.18802,0.20438,0.35873,0.18463,0.0626,2.24032,2.69265,2.36985,0.000141614,0.000141614,0.000141614
93,1426.72,0.93435,1.11294,1.22622,0.23353,0.37206,0.2073,0.06694,2.22424,2.67577,2.35318,0.000127467,0.000127467,0.000127467
94,1441.83,0.87668,1.03489,1.17334,0.24403,0.3854,0.21713,0.07116,2.20537,2.64798,2.31519,0.00011332,0.00011332,0.00011332
95,1457.51,0.82202,0.99,1.15084,0.25842,0.39144,0.22891,0.07492,2.22373,2.61625,2.33039,9.91726e-05,9.91726e-05,9.91726e-05
96,1473.14,0.8302,0.95852,1.14063,0.26246,0.39453,0.22689,0.07651,2.21103,2.62191,2.33842,8.50255e-05,8.50255e-05,8.50255e-05
97,1488.07,0.87032,0.99731,1.12183,0.28519,0.4274,0.22936,0.07686,2.1999,2.61828,2.34841,7.08784e-05,7.08784e-05,7.08784e-05
98,1503.11,0.84427,0.96294,1.11357,0.27984,0.43302,0.24475,0.08055,2.17899,2.59277,2.32513,5.67313e-05,5.67313e-05,5.67313e-05
99,1518.29,0.89257,1.13035,1.18434,0.25918,0.3854,0.23097,0.07769,2.18509,2.57312,2.33035,4.25842e-05,4.25842e-05,4.25842e-05
100,1534,0.75616,0.86277,1.05758,0.28293,0.37626,0.23786,0.07786,2.181,2.5458,2.33803,2.84371e-05,2.84371e-05,2.84371e-05
